iter	Passed	Remaining
827	1063	220
828	1064	219
829	1065	218
830	1066	216
831	1067	215
832	1068	214
833	1069	212
834	1070	211
835	1071	210
836	1071	208
837	1073	207
838	1074	206
839	1076	204
840	1077	203
841	1078	202
842	1079	201
843	1081	199
844	1082	198
845	1083	197
846	1084	195
847	1085	194
848	1085	193
849	1086	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1093	185
855	1094	184
856	1095	182
857	1096	181
858	1097	180
859	1097	178
860	1098	177
861	1099	176
862	1100	174
863	1101	173
864	1102	172
865	1103	170
866	1104	169
867	1106	168
868	1107	166
869	1108	165
870	1109	164
871	1110	162
872	1111	161
873	1112	160
874	1112	158
875	1113	157
876	1114	156
877	1115	155
878	1116	153
879	1117	152
880	1118	151
881	1119	149
882	1121	148
883	1122	147
884	1123	145
885	1124	144
886	1125	143
887	1126	142
888	1127	140
889	1128	139
890	1129	138
891	1129	136
892	1130	135
893	1131	134
894	1132	132
895	1133	131
896	1134	130
897	1135	129
898	1136	127
899	1137	126
900	1138	125
901	1139	123
902	1140	122
903	1141	121
904	1142	119
905	1143	118
906	1144	117
907	1144	116
908	1145	114
909	1146	113
910	1147	112
911	1148	110
912	1150	109
913	1151	108
914	1152	107
915	1153	105
916	1154	104
917	1155	103
918	1156	101
919	1157	100
920	1158	99
921	1159	98
922	1160	96
923	1160	95
924	1161	94
925	1162	92
926	1163	91
927	1165	90
928	1166	89
929	1167	87
930	1168	86
931	1169	85
932	1170	84
933	1171	82
934	1172	81
935	1173	80
936	1174	78
937	1174	77
938	1175	76
939	1176	75
940	1177	73
941	1178	72
942	1179	71
943	1181	70
944	1182	68
945	1183	67
946	1184	66
947	1184	64
948	1185	63
949	1186	62
950	1187	61
951	1188	59
952	1189	58
953	1190	57
954	1191	56
955	1191	54
956	1192	53
957	1193	52
958	1195	51
959	1196	49
960	1197	48
961	1199	47
962	1200	46
963	1200	44
964	1201	43
965	1202	42
966	1203	41
967	1204	39
968	1205	38
969	1205	37
970	1206	36
971	1210	34
972	1212	33
973	1213	32
974	1214	31
975	1215	29
976	1216	28
977	1217	27
978	1218	26
979	1219	24
980	1220	23
981	1221	22
982	1222	21
983	1223	19
984	1225	18
985	1226	17
986	1227	16
987	1228	14
988	1229	13
989	1230	12
990	1231	11
991	1232	9
992	1233	8
993	1234	7
994	1235	6
995	1236	4
996	1238	3
997	1240	2
998	1241	1
999	1242	0
